month,domestic,year,index,date,primary_type,description,latitude,longitude
1,False,2019,16250,16250,16250,16250,16165,16165
1,False,2020,16231,16231,16231,16231,16129,16129
1,True,2019,3337,3337,3337,3337,3337,3337
1,True,2020,3211,3211,3211,3211,3206,3206
2,False,2019,15322,15322,15322,15322,15223,15223
2,False,2020,14762,14762,14762,14762,14678,14678
2,True,2019,3020,3020,3020,3020,3020,3020
2,True,2020,2996,2996,2996,2996,2996,2996
3,False,2019,16858,16858,16858,16858,16787,16787
3,False,2020,12767,12767,12767,12767,12658,12658
3,True,2019,3505,3505,3505,3505,3505,3505
3,True,2020,3259,3259,3259,3259,3253,3253
4,False,2019,3531,3531,3531,3531,3518,3518
4,False,2020,1866,1866,1866,1866,1805,1805
4,True,2019,692,692,692,692,692,692
4,True,2020,558,558,558,558,547,547
